Majority protein IDs,iBAQ C,iBAQ M,iBAQ MTBE
PGSC0003DMP400043663,9680300,3077300,9262500
PGSC0003DMP400041892,6478900,10251000,9226200
PGSC0003DMP400038870,17498000,16388000,9188400
PGSC0003DMP400027236,7905700,11732000,9015600
PGSC0003DMP400002124,6909700,8449700,8967300
PGSC0003DMP400006575,10715000,13312000,8961600
PGSC0003DMP400035581,7574500,9053400,8952300
PGSC0003DMP400025336,15402000,14869000,8897400
PGSC0003DMP400029118,8995600,9864800,8812900
PGSC0003DMP400008249,10384000,10944000,8718500
PGSC0003DMP400015340,4798200,1207900,8684400
PGSC0003DMP400048247,12387000,15394000,8642300
PGSC0003DMP400024245,3658400,6932300,8610600
PGSC0003DMP400015797,1369700,11997000,8605500
PGSC0003DMP400014198,6101900,5565100,8524200
PGSC0003DMP400054979,13081000,8073200,8456900
PGSC0003DMP400009572,11224000,20987000,8397900
PGSC0003DMP400055843,7813400,7024400,8373100
PGSC0003DMP400014820,2696300,2564700,8345500
PGSC0003DMP400026315,5743100,6244200,8235700
PGSC0003DMP400033974,19482000,31001000,8163900
PGSC0003DMP400014892,9529100,14272000,8158400
PGSC0003DMP400038804,917660,5284600,8087600
PGSC0003DMP400046438,10116000,15639000,8083500
PGSC0003DMP400009956,6424300,6478400,8006300
PGSC0003DMP400004982,3767000,8106800,7955000
PGSC0003DMP400047273,4609500,7949500,7941300
PGSC0003DMP400045752,15112000,8758200,7895100
PGSC0003DMP400035271,3631500,3874500,7780500
PGSC0003DMP400021684,6816400,5968400,7667500
PGSC0003DMP400042647,4347000,5991900,7606200
PGSC0003DMP400024061,15554000,6788100,7581900
PGSC0003DMP400010820,5805300,7994100,7580600
PGSC0003DMP400014215,9591400,6061400,7546700
PGSC0003DMP400047519,4951400,6371400,7456800
PGSC0003DMP400051894,6628300,7486100,7386300
PGSC0003DMP400041843,913060,5346300,7366000
PGSC0003DMP400038230,6647700,6557800,7333100
PGSC0003DMP400008694,7260700,10633000,7298300
